time,seconds_elapsed,z,y,x
1733699485122506800,0.0195068359375,0.18743209540843964,-0.16439613699913025,0.010059106163680553
1733699485132461800,0.0294619140625,0.171546071767807,-0.1920550912618637,0.02029579132795334
1733699485142416600,0.039416748046875,0.15433353185653687,-0.2143992781639099,0.017739959061145782
1733699485152372700,0.049372802734375,0.14493203163146973,-0.24441365897655487,0.013920003548264503
1733699485162327800,0.059327880859375,0.14522841572761536,-0.2920096814632416,0.004352597985416651
1733699485172282600,0.06928271484375,0.15244661271572113,-0.3579588532447815,-0.020946023985743523
1733699485182238000,0.079238037109375,0.16294611990451813,-0.4309936463832855,-0.05727953091263771
1733699485192192800,0.08919287109375,0.17578977346420288,-0.5108584761619568,-0.09737633913755417
1733699485202147800,0.09914794921875,0.18249428272247314,-0.5831180214881897,-0.12997503578662872
1733699485212102700,0.1091025390625,0.18683862686157227,-0.6246864199638367,-0.16062995791435242
1733699485222058800,0.119058837890625,0.18375442922115326,-0.6137104630470276,-0.16937977075576782
1733699485232013800,0.129013916015625,0.15997745096683502,-0.5495865941047668,-0.15924671292304993
1733699485241969000,0.138968994140625,0.1072963997721672,-0.45827585458755493,-0.13830360770225525
1733699485251923700,0.148923828125,0.0388716459274292,-0.36360564827919006,-0.1073056012392044
1733699485261878800,0.158878662109375,-0.02141406573355198,-0.27372103929519653,-0.0810851901769638
1733699485271833600,0.16883349609375,-0.06475725024938583,-0.20067198574543,-0.06401091068983078
1733699485281789000,0.178788818359375,-0.09557747840881348,-0.14038227498531342,-0.055151909589767456
1733699485291743700,0.18874365234375,-0.11864108592271805,-0.09483510255813599,-0.050135333091020584
1733699485301699600,0.198699462890625,-0.13377636671066284,-0.07444833964109421,-0.04114503413438797
1733699485311655000,0.208655029296875,-0.1373961716890335,-0.07830099016427994,-0.03625382483005524
1733699485321609700,0.218609619140625,-0.12478318810462952,-0.09355105459690094,-0.033005036413669586
1733699485331564500,0.228564453125,-0.10054096579551697,-0.11444435268640518,-0.03001590445637703
1733699485341520000,0.238519775390625,-0.06424740701913834,-0.13997049629688263,-0.031017251312732697
1733699485351474700,0.248474609375,-0.028831783682107925,-0.17484347522258759,-0.030962010845541954
1733699485361429800,0.2584296875,0.001627321937121451,-0.2137051224708557,-0.03351358696818352
1733699485371384800,0.268384765625,0.02697250247001648,-0.23454241454601288,-0.03361190855503082
1733699485381340700,0.278340576171875,0.04507507383823395,-0.23723912239074707,-0.027577189728617668
1733699485391295700,0.288295654296875,0.04938366264104843,-0.2236347645521164,-0.016983820125460625
1733699485401250800,0.298250732421875,0.04865448921918869,-0.20266343653202057,-0.004207305144518614
1733699485411206000,0.308205810546875,0.041691314429044724,-0.1843382716178894,0.005159993655979633
1733699485421160700,0.31816064453125,0.03584035113453865,-0.17480069398880005,0.013103936798870564
1733699485431115800,0.32811572265625,0.03975239768624306,-0.1785859316587448,0.01395141240209341
1733699485441070800,0.33807080078125,0.05126604065299034,-0.18979677557945251,0.007898579351603985
1733699485451026700,0.348026611328125,0.049818940460681915,-0.20667968690395355,-0.020346565172076225
1733699485460981800,0.357981689453125,0.058723222464323044,-0.2508884370326996,-0.03362908214330673
1733699485470936800,0.367936767578125,0.07107679545879364,-0.27792888879776,-0.03644440323114395
1733699485480891600,0.3778916015625,0.07608300447463989,-0.298965722322464,-0.034602824598550797
1733699485490847000,0.387846923828125,0.07212920486927032,-0.3047313094139099,-0.028935935348272324
1733699485500801800,0.3978017578125,0.05663573369383812,-0.28190162777900696,-0.02240639552474022
1733699485510756600,0.407756591796875,0.02650338038802147,-0.23348073661327362,-0.01748502627015114
1733699485520711700,0.417711669921875,-0.006602374836802483,-0.17813092470169067,-0.010310204699635506
1733699485530667800,0.427667724609375,-0.03286542743444443,-0.1222170889377594,-0.004443442448973656
1733699485540622600,0.43762255859375,-0.034418582916259766,-0.09375428408384323,-0.011660076677799225
1733699485550577700,0.44757763671875,-0.009524167515337467,-0.08781349658966064,-0.016971103847026825
1733699485560532700,0.45753271484375,0.015074385330080986,-0.07137113809585571,-0.016685346141457558
1733699485570487800,0.46748779296875,0.03756522387266159,-0.05553525686264038,-0.01958341896533966
1733699485580442600,0.477442626953125,0.0531415194272995,-0.09389569610357285,-0.025631990283727646
1733699485590398000,0.48739794921875,0.05733221769332886,-0.18132607638835907,-0.039476118981838226
1733699485600352800,0.497352783203125,0.05528504401445389,-0.2582743763923645,-0.053010836243629456
1733699485610308600,0.50730859375,0.05074918270111084,-0.297673761844635,-0.06485544890165329
1733699485620264000,0.517263916015625,0.042654771357774734,-0.31609058380126953,-0.06865977495908737
1733699485630218800,0.52721875,0.019222524017095566,-0.3201107680797577,-0.08098393678665161
1733699485640173600,0.537173583984375,-0.006544359028339386,-0.35620802640914917,-0.1014719009399414
1733699485650129000,0.54712890625,0.025756537914276123,-0.40177688002586365,-0.10206011682748795
1733699485660083700,0.557083740234375,0.06242373585700989,-0.46646401286125183,-0.11235536634922028
1733699485670038800,0.567038818359375,0.07575749605894089,-0.5074952840805054,-0.11857128143310547
1733699485679993900,0.576993896484375,0.08466710150241852,-0.586721658706665,-0.12814640998840332
1733699485689949700,0.58694970703125,0.09350479394197464,-0.8603877425193787,-0.20277807116508484
1733699485699904800,0.59690478515625,0.07072171568870544,-0.8345063328742981,-0.22158344089984894
1733699485709859800,0.60685986328125,0.05272113159298897,-0.6966197490692139,-0.18152113258838654
1733699485719814700,0.616814697265625,0.05073521286249161,-0.5380399227142334,-0.12572763860225677
1733699485729769700,0.626769775390625,0.05985591560602188,-0.4326658248901367,-0.09404453635215759
1733699485739724800,0.636724853515625,0.06904248893260956,-0.34659913182258606,-0.07814440131187439
1733699485749679900,0.646679931640625,0.05990626662969589,-0.26563066244125366,-0.0652330070734024
1733699485759635700,0.6566357421875,0.04011179134249687,-0.18560828268527985,-0.047052666544914246
1733699485769590800,0.6665908203125,0.01707322895526886,-0.11911779642105103,-0.020982148125767708
1733699485779545900,0.6765458984375,0.0023326328955590725,-0.07477457076311111,0.0007045048987492919
1733699485789500700,0.686500732421875,0.014027442783117294,-0.06277602165937424,0.014819868840277195
1733699485799455700,0.696455810546875,0.042072393000125885,-0.07859999686479568,0.02017734944820404
