avg,max,med,min,q25,q75,std,pitch_mean,pitch_std,roll_mean,roll_std,stability,movement_intensity,position
0.5260885179224934,3.354025740601147,0.20107285246914627,-0.041967513495999594,0.04255468972324433,0.5756580185804787,0.8064544586795942,-7.783318381257349,30.31534124497107,14.040679815638967,86.61575438395356,1.5329254131305827,9.21095693614381,back
-0.06970840809685494,0.13224103603354867,-0.09118981306443835,-0.11282907046187714,-0.1048159169769187,-0.06619485149649773,0.055731376862843136,-18.57530669835538,18.96359429197505,31.404468083752292,68.25122024647136,-0.7994928931013358,1.4402050421269896,back
-0.08840606741997788,0.03291662720738669,-0.09648653116444014,-0.11940897575260162,-0.1076092999483569,-0.07476437141676909,0.027516210708692274,-4.337238446321236,20.999530240341237,34.38179153467382,76.04960400276268,-0.31124798909983187,1.172982812699179,back
0.01026680468928739,0.4705050567273707,-0.05181954284333945,-0.11715844443631002,-0.09403152641964665,0.07805929533452144,0.14053260246477586,-9.489864167899295,22.3402877488145,15.734717397689204,84.1136578684299,13.688056480845562,3.765356494975697,back
-0.04976497704366077,0.21206961493733809,-0.07523749140110803,-0.1165432313174146,-0.09382520093904742,-0.023416598534000764,0.06556672833731135,-12.961055830755548,21.923728493423635,31.34397592540807,75.41770358495474,-1.3175275511488145,1.7399990823503595,back
-0.09831266346148015,-0.05550906143205766,-0.1047027448111435,-0.11805614957558634,-0.1094852189128106,-0.08812441385225721,0.015392634424592376,0.055193683407619515,20.17991045409772,41.514411333627166,62.628752790388326,-0.15656817629219616,0.8456821609277538,back
-0.03976487097523852,0.4221447890612666,-0.09160298941943357,-0.11845399761183072,-0.10951889094859434,-0.028595727251429084,0.11760687148829495,0.21835304004365186,23.600734518531983,34.25302194632957,78.93355080818407,-2.9575569743839587,2.6052234187344507,back
0.10604074318468121,1.0616980884807756,-0.03445760264156386,-0.11962767130384529,-0.09434441781411056,0.200804034619363,0.2751292724413972,0.5306402727445338,24.770131113600836,15.439502184265166,87.48413779499768,2.5945619030812557,6.009848099437143,back
-0.08650802532109834,0.08995318630426372,-0.10010714541277142,-0.12532290222317435,-0.1104691696307755,-0.08141642890284494,0.039685116703983864,-0.3212424276889843,30.13988989963632,28.016280242118437,76.49440787889473,-0.4587449147831271,1.3193627153407708,back
0.2779191931550234,1.942722990544976,0.05014280180348374,-0.13763652356588224,-0.022066917540761864,0.3863612259455399,0.5029508724616271,-0.9693877019448519,26.86204186566647,5.806889143501479,95.94605691587631,1.809701830060657,8.381462526533099,back
-0.03463177061840102,0.292039055441096,-0.06363923093910409,-0.12228167692154603,-0.09671126996428898,0.008024387979036419,0.08300298025946586,-2.850514482055731,30.56248220166844,12.276422945514758,87.25155778841943,-2.396729326203252,2.4136002994484556,back
0.36135206612751225,3.0688036051248693,0.22297881091169547,-0.11708474973685007,-0.07664690507081018,0.5880292021320269,0.5952708881006895,-0.08997798362660911,31.265633650156154,16.96389912805819,93.34975803210605,1.6473432530219243,11.86577199437825,back
0.02359474752121253,0.563417020365024,-0.057992767104332876,-0.11796062590462658,-0.08864201653881813,0.059801809518493156,0.17338889515596273,-2.4919194659653416,28.35215839065404,20.093126656600784,81.01974607284207,7.348622611879184,3.3489884880940783,back
-0.072241046997315,-0.004756210140050786,-0.07488540803351934,-0.11180243863890894,-0.09281974204043934,-0.058978653881862644,0.024604197453123436,-1.8531809871670926,28.121005059511397,22.99777149293186,76.44333468238631,-0.3405847295380133,1.323848887913308,back
-0.0766062213662005,0.037582489547599476,-0.08021787292840604,-0.11342677486604488,-0.09344946814676283,-0.06588124613535891,0.025741341884763017,-1.0511664159785272,27.54279399510766,18.986554410598735,78.78886555782358,-0.3360215583759412,1.122228649092754,back
-0.09465549388171168,-0.044016903860207984,-0.10051128324719483,-0.12147761526212919,-0.11036912662614291,-0.07770447558590894,0.01911337415171383,3.0278411507483054,27.679091372326297,28.575238761373956,76.77328966827771,-0.20192567137834894,0.9830001801489772,back
-0.10188087195550441,-0.04330424413290165,-0.10892742353037652,-0.12474389896447675,-0.11427094451727053,-0.09485018247165108,0.018100332129633894,2.8342914826612677,24.12046343015427,32.724344356489816,76.53596098362617,-0.17766173161080775,0.9564712511953632,back
-0.053292533826085745,0.3323129777925105,-0.08898472315042744,-0.11903509049647731,-0.10806655933331871,-0.06606296972818797,0.10212051925029798,4.63165629506531,26.04387522024032,27.475852508757402,87.55663629074868,-1.9162256308464698,1.4291042283930175,back
0.04159075758043056,0.6947824727475063,-0.06142456328327172,-0.10384994045563907,-0.07727163719770566,0.03058457886391947,0.21498570218984925,-15.797977007254536,21.864589617724963,-44.24266196952251,97.17446193183197,5.169073964909097,2.545963829183782,back
-0.04158376005619725,0.3390060286840877,-0.057822640511566395,-0.09644200687706904,-0.06932212317839172,-0.03460298172524073,0.06339974094521214,-16.06473066439766,22.29321665267799,-33.25921038082265,96.02824450206393,-1.524627423290541,2.1945495912105386,back
-0.06646103099250457,0.004272676804617684,-0.07128897912039914,-0.10218399476799159,-0.08504221932960732,-0.049546997696988955,0.02345574379610385,-11.523728067821871,20.007417639336182,-52.62336076565263,81.20914568254076,-0.3529247657736332,1.7718369774935858,back
-0.060659913235989016,0.07234398933745818,-0.06680105648311233,-0.10519015052313085,-0.08109297829884843,-0.05093296040945811,0.029328535200170713,-11.531408650843508,19.557088368582736,-43.77237506099825,82.00736884147867,-0.48349121578977694,1.6581850709255033,back
