time,seconds_elapsed,z,y,x
1733359278253801200,0.02380126953125,0.13989011672735213,0.03893880246430635,-0.095547993914783
1733359278263766300,0.033766357421875,0.13904314450919628,-0.01657850209623575,-0.054633799724280833
1733359278273731300,0.0437314453125,0.16065408781468868,-0.07386720024347306,-0.06281330678761005
1733359278283697200,0.053697265625,0.1653583199828863,-0.11339023233652114,-0.10658464397490024
1733359278293662200,0.063662109375,0.14856734417974948,-0.1408417183637619,-0.15770634392499921
1733359278303627300,0.073627197265625,0.1339525433719158,-0.11894172898381948,-0.16352233672738073
1733359278313593000,0.083593017578125,0.1095183593392372,-0.06329319925904274,-0.10135346532315015
1733359278323558400,0.093558349609375,0.09067746526896953,-0.03581131809353828,-0.0727846657037735
1733359278333523200,0.103523193359375,0.07887538379430771,-0.0185500944301486,-0.032008710940182206
1733359278343489300,0.1134892578125,0.09444938502311706,-0.013656184908747673,-0.013901099580526351
1733359278353454000,0.1234541015625,0.1212391922712326,-0.02538227853775024,-0.00030687399208545685
1733359278363420200,0.133420166015625,0.15283026232123373,-0.02568301504999399,-0.04421002086549997
1733359278373385200,0.14338525390625,0.16600421667098997,-0.04885375501811504,-0.07724456772208213
1733359278383350000,0.15335009765625,0.19345044200122355,-0.06829524533003568,-0.10714052429199218
1733359278393316400,0.16331640625,0.19354688811302184,-0.06753945852667093,-0.1783227232351899
1733359278403281200,0.17328125,0.1695809061139822,-0.07804828532040119,-0.225740307970345
1733359278413246200,0.18324609375,0.18527590337395666,-0.08867401649206877,-0.2427060558184981
1733359278423212300,0.19321240234375,0.21235037278234958,-0.10337532653957605,-0.3138081752628088
1733359278433177300,0.20317724609375,0.23884324291050432,-0.1408282743602991,-0.4262552815303206
1733359278443143200,0.21314306640625,0.2616033562511206,-0.21577771688252687,-0.5553732443526387
1733359278453108200,0.223108154296875,0.2711649653226137,-0.2567956637084484,-0.6462669827207923
1733359278463073300,0.2330732421875,0.28120120616853234,-0.27723580966889855,-0.6729585902914405
1733359278473039000,0.2430390625,0.2752951969951391,-0.25702158141881226,-0.6494347991019487
1733359278483004400,0.25300439453125,0.22619477373957633,-0.2629538940772414,-0.6171121999070048
1733359278492969200,0.26296923828125,0.15170038150846957,-0.23833295530080795,-0.5173851667419076
1733359278502935300,0.272935302734375,0.08872925381064414,-0.15048165336847305,-0.36823768458664413
1733359278512900000,0.282900146484375,0.1054711297750473,-0.06148176592290401,-0.18711071758568285
1733359278522865400,0.292865478515625,0.1311515144765377,0.006977145536243915,-0.08310030801296234
1733359278532831200,0.302831298828125,0.16190028848350047,0.02377250525355339,-0.08202011156082153
1733359278542796000,0.312796142578125,0.18267887261807916,0.011787468427419661,-0.16241203739792107
1733359278552762400,0.322762451171875,0.16938684484660624,0.012614859162271022,-0.2310755315184593
1733359278562727200,0.33272705078125,0.1318868430137634,0.05459054510444403,-0.20372312195152043
1733359278572692200,0.342692138671875,0.01823591391444206,0.14768150125592946,-0.09008476007282733
1733359278582658300,0.352658203125,-0.05229483538269997,0.24112726219445466,0.049019466973841186
1733359278592623400,0.362623291015625,-0.02960311110317707,0.27143063052147626,0.16691197916567324
1733359278602588200,0.372588134765625,0.031713819646835326,0.2703074717104435,0.2654237913221121
1733359278612554200,0.38255419921875,0.051346740877628326,0.23098989906162024,0.3807426536336541
1733359278622519300,0.392519287109375,0.11218494819998741,0.1965095373108983,0.4448565216258168
1733359278632485000,0.402485107421875,0.17074293563067913,0.15664046825915573,0.4473018689513206
1733359278642450400,0.412450439453125,0.18982465271949767,0.10417290665805339,0.4035714482963085
1733359278652415200,0.422415283203125,0.13593348805606364,0.05027765034139156,0.3409615551263094
1733359278662381000,0.432381103515625,0.04235679421424866,0.02288403198122978,0.26255203527808185
1733359278672346000,0.44234619140625,-0.020944588351249693,0.0009413725033402443,0.19122867429852486
1733359278682311400,0.4523115234375,-0.07913315794765949,-0.018654139326512813,0.11941752980202436
1733359278692277200,0.46227734375,-0.09069324735999107,-0.01844283466339111,0.06480506512671709
1733359278702242000,0.472241943359375,-0.07385550980567931,-0.043807577544450756,0.0320242007702589
1733359278712207400,0.482207275390625,-0.06673895579874516,-0.07553601023852825,-0.01540302857607603
1733359278722173200,0.492173095703125,-0.05103343714475631,-0.11594488525539635,-0.08097323285639285
1733359278732138200,0.50213818359375,-0.0299982479006052,-0.15647767891287803,-0.1787748509168625
1733359278742104300,0.512104248046875,-0.07194120061695575,-0.19355711724609134,-0.258970961920917
1733359278752069000,0.522069091796875,-0.0878992327272892,-0.18164631469994783,-0.2512698860242963
1733359278762034200,0.5320341796875,-0.09570961421728133,-0.10879676706641912,-0.15880495281666515
1733359278772000300,0.542000244140625,-0.06357727689743041,-0.01583265216499567,-0.0670478756174445
1733359278781965300,0.55196533203125,0.02196516357064247,0.04595101931393146,-0.004659516243636608
1733359278791930000,0.56193017578125,0.06947627180814743,0.07641308533400297,0.004115326364338398
1733359278801896400,0.571896484375,0.10528758990168571,0.049017421147227284,-0.001172258649766445
1733359278811861200,0.581861328125,0.11304828703105449,0.03497574405223131,-0.019976327840983868
1733359278821827000,0.5918271484375,0.062381345111131664,0.009234861335158348,0.008521452368795871
1733359278831792000,0.601792236328125,-0.0003004442512989044,0.04451864842325449,0.06534604013562202
1733359278841757200,0.611757080078125,-0.036218145328760144,0.07064502332657575,0.14395985038429499
1733359278851723300,0.62172314453125,-0.049607788255810734,0.12481997336745261,0.2582505386918783
1733359278861688000,0.63168798828125,-0.02554711371064186,0.18987609064579009,0.3563137302979827
