time,seconds_elapsed,z,y,x
1733860954918383900,0.0153837890625,-0.00012309872545301914,0.013158812187612057,0.002699436154216528
1733860954928334600,0.02533447265625,-0.0022285939194262028,0.011748136021196842,-0.0010998293291777372
1733860954938284800,0.035284912109375,-0.003090222366154194,0.004573296755552292,0.0013963208766654134
1733860954948235800,0.04523583984375,-0.008575002662837505,0.002816143212839961,0.003393957857042551
1733860954958186800,0.055186767578125,-0.017140453681349754,0.0059762634336948395,0.0025437292642891407
1733860954968137700,0.0651376953125,-0.018120495602488518,0.015599861741065979,0.009569414891302586
1733860954978088000,0.075087890625,-0.010621375404298306,0.021623918786644936,0.012007685378193855
1733860954988038700,0.08503857421875,-0.004636187106370926,0.018320001661777496,0.007292026653885841
1733860954997990000,0.094989990234375,-0.005001757759600878,0.008102798834443092,0.007112974300980568
1733860955007940900,0.10494091796875,-0.0029109101742506027,-0.0021152175031602383,0.000511264312081039
1733860955017890800,0.114890869140625,-0.0023909604642540216,-0.011931617744266987,-0.008304295130074024
1733860955027841800,0.124841796875,0.0017060465179383755,-0.03646066039800644,-0.016147837042808533
1733860955037793000,0.13479296875,0.009048240259289742,-0.046290408819913864,-0.026526834815740585
1733860955047743700,0.14474365234375,0.0154185201972723,-0.043231766670942307,-0.027962278574705124
1733860955057695000,0.154695068359375,0.022918717935681343,-0.038001030683517456,-0.032049890607595444
1733860955067645000,0.16464501953125,0.02704714983701706,-0.03867587447166443,-0.03495939075946808
1733860955077595600,0.174595703125,0.03531123697757721,-0.05279998108744621,-0.04739725589752197
1733860955087547000,0.184546875,0.03935737907886505,-0.08071017265319824,-0.05737798660993576
1733860955097497600,0.19449755859375,0.04054412245750427,-0.11337143927812576,-0.07047931849956512
1733860955107447800,0.20444775390625,0.03314293175935745,-0.13123725354671478,-0.08580075204372406
1733860955117398800,0.214398681640625,0.025103632360696793,-0.15510210394859314,-0.09581755101680756
1733860955127349800,0.224349853515625,0.01193270180374384,-0.19841736555099487,-0.09942587465047836
1733860955137300700,0.23430078125,-0.022335367277264595,-0.25972625613212585,-0.11720746755599976
1733860955147251000,0.2442509765625,-0.04969561845064163,-0.3166012763977051,-0.1457701325416565
1733860955157201700,0.25420166015625,-0.08109067380428314,-0.41505005955696106,-0.1876259446144104
1733860955167153000,0.26415283203125,-0.11768437176942825,-0.5457279086112976,-0.2331915646791458
1733860955177104000,0.274103759765625,-0.10932016372680664,-0.6484143733978271,-0.26535359025001526
1733860955187053800,0.2840537109375,-0.08179958909749985,-0.7389072179794312,-0.2926611006259918
1733860955197004800,0.2940048828125,-0.06683555990457535,-0.7761480808258057,-0.31180423498153687
1733860955206956000,0.3039560546875,-0.06057792529463768,-0.7909584641456604,-0.317848265171051
1733860955216906800,0.31390673828125,-0.06676075607538223,-0.7979974746704102,-0.30551308393478394
1733860955226856700,0.323856689453125,-0.07297417521476746,-0.7943393588066101,-0.2966063916683197
1733860955236808000,0.333807861328125,-0.07808317989110947,-0.802575409412384,-0.2923649847507477
1733860955246758700,0.343758544921875,-0.08180121332406998,-0.8440075516700745,-0.2978782653808594
1733860955256710000,0.3537099609375,-0.08816251158714294,-0.9146652221679688,-0.3074057400226593
1733860955266659800,0.363659912109375,-0.08478908240795135,-0.9809808731079102,-0.32811954617500305
1733860955276610800,0.37361083984375,-0.0841384157538414,-1.038591742515564,-0.3482871651649475
1733860955286561800,0.383561767578125,-0.0651431530714035,-1.0584620237350464,-0.360720157623291
1733860955296512800,0.3935126953125,-0.021924344822764397,-1.0129190683364868,-0.36368054151535034
1733860955306462700,0.403462646484375,0.02589031495153904,-0.9427551627159119,-0.3502163887023926
1733860955316414000,0.4134140625,0.060574427247047424,-0.8650878071784973,-0.31805214285850525
1733860955326364700,0.42336474609375,0.09371373802423477,-0.7961792945861816,-0.2930176258087158
1733860955336316000,0.43331591796875,0.14552772045135498,-0.7708393335342407,-0.29966503381729126
1733860955346265900,0.443265869140625,0.15756680071353912,-0.7356722950935364,-0.2979440987110138
1733860955356216800,0.453216796875,0.03888368234038353,-0.5949258208274841,-0.21889878809452057
1733860955366167800,0.463167724609375,-0.04651004448533058,-0.27216559648513794,-0.0779171735048294
1733860955376118800,0.473118896484375,-0.09231986850500107,-0.09708194434642792,-0.03648039698600769
1733860955386068700,0.48306884765625,-0.09972824901342392,-0.15041546523571014,-0.04843559488654137
1733860955396019700,0.493019775390625,-0.0857539102435112,-0.25619012117385864,-0.07324113696813583
1733860955405970700,0.502970703125,-0.0836327001452446,-0.3166361451148987,-0.08590500056743622
1733860955415922000,0.512921875,-0.09382254630327225,-0.333758682012558,-0.08011608570814133
1733860955425873000,0.522872802734375,-0.10649333894252777,-0.35497981309890747,-0.07425766438245773
1733860955435822800,0.53282275390625,-0.1117977574467659,-0.38128411769866943,-0.05740544572472572
1733860955445773800,0.54277392578125,-0.12009616941213608,-0.4073399603366852,-0.03345271199941635
1733860955455724800,0.552724853515625,-0.1301386058330536,-0.44166356325149536,-0.025126954540610313
1733860955465675800,0.56267578125,-0.14816661179065704,-0.4581863284111023,-0.03240004926919937
1733860955475625700,0.572625732421875,-0.16891764104366302,-0.46401917934417725,-0.03952944278717041
1733860955485577000,0.582576904296875,-0.18926313519477844,-0.45587658882141113,-0.04397239536046982
1733860955495527700,0.592527587890625,-0.2082372009754181,-0.45188531279563904,-0.04340275377035141
1733860955505479000,0.60247900390625,-0.22320950031280518,-0.4561258852481842,-0.04358358308672905
1733860955515428900,0.612428955078125,-0.22251921892166138,-0.4598793387413025,-0.05686429142951965
